ID,NAME,VAL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
4,Afghanistan,1,4811,1514,3553,4385,4105,9056,5618,3595,6721,12174,5065,5394,5553,1157,944,817,1711,4982,7020,5660,6499,7151,7563,7823,8131,12549,17987,18714,19776,26888
8,Albania,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Algeria,1,0,1,34,274,826,1943,3059,1091,2008,3284,1153,1178,674,1058,714,500,232,292,495,345,541,252,276,264,222,111,110,89,77,35
24,Angola,1,2873,2609,526,2328,12398,4009,215,75,95,1199,2665,1206,2154,578,81,49,11,0,26,4,25,10,1,0,2,0,1,19,26,24
10,Antarctica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Argentina,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Armenia,1,0,0,0,85,37,30,8,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,9,1,0,16,4,0,1
36,Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
40,Austria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Azerbaijan,1,0,0,35,2243,1197,1489,54,5,29,34,18,13,6,0,0,8,24,5,12,30,7,20,21,16,11,46,63,137,36,16
44,Bahamas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Bangladesh,1,81,94,107,225,43,32,14,46,16,21,14,105,62,6,8,51,80,96,18,13,10,5,0,2,54,2,10,73,48,26
112,Belarus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Belgium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4
84,Belize,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Benin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Bhutan,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Bolivia,1,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Bosnia and Herz.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Botswana,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Brazil,1,0,0,0,0,42,29,51,20,33,13,59,33,74,61,43,86,54,22,40,20,40,4,31,11,4,1,15,12,309,440
96,Brunei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Bulgaria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
854,Burkina Faso,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,45,135
108,Burundi,1,0,7,278,61,5,56,1547,2673,1573,1398,1012,2071,1253,1576,1245,679,378,185,79,220,0,0,0,9,9,50,220,15,60,94
384,Côte d'Ivoire,1,0,9,0,0,1,4,37,5,0,0,0,132,2,1028,492,304,153,11,3,4,1,80,1256,21,4,0,0,47,0,0
116,Cambodia,1,814,377,322,193,484,572,723,846,444,274,0,4,0,0,1,0,0,0,2,2,2,0,10,1,0,0,0,0,0,0
120,Cameroon,1,0,6,50,25,47,102,0,56,0,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1047,1263,491,410,983
124,Canada,1,0,0,0,0,0,3,24,2,2,27,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Central African Rep.,1,0,0,0,3,4,0,0,0,0,0,5,6,255,152,19,23,8,190,143,8,244,148,195,132,3396,3368,715,688,1792,581
148,Chad,1,50,686,95,1190,313,521,53,4,134,198,394,1070,230,297,37,78,267,1956,431,994,135,4,0,0,0,16,397,26,91,168
152,Chile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,China,1,2600,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,87,189,0,0,0,0,0,5,0,6,0
170,Colombia,1,384,712,872,1500,302,1211,943,1401,891,1646,2093,2028,2357,3427,1190,1781,1702,588,362,252,419,442,227,227,140,156,143,38,34,149
178,Congo,1,0,0,0,2,135,18,2,1,10412,3763,973,0,3,234,33,0,15,0,2,1,0,0,1,2,0,0,0,53,20,13
188,Costa Rica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Croatia,1,0,0,0,142,373,0,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Cuba,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Cyprus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Czechia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Dem. Rep. Congo,1,28,147,32,67,3288,330,523,34530,13884,8019,7545,3052,1341,7877,3855,799,278,389,880,1736,5160,806,501,1808,2164,1574,650,2138,5916,2903
208,Denmark,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Djibouti,1,6,60,74,129,33,39,17,0,11,16,25,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,0,6
